ID,X,Y
0,1,18
1,2,18
2,3,18
3,4,18
4,5,18
5,6,18
6,7,18
7,8,18
8,9,18
9,10,18
10,11,18
11,12,18
12,13,18
13,14,18
14,15,18
15,16,18
16,17,18
17,18,18
18,19,18
19,20,18
20,1,19
21,2,19
22,3,19
23,4,19
24,5,19
25,6,19
26,7,19
27,8,19
28,9,19
29,10,19
30,11,19
31,12,19
32,13,19
33,14,19
34,15,19
35,16,19
36,17,19
37,18,19
38,19,19
39,20,19
40,1,20
41,2,20
42,3,20
43,4,20
44,5,20
45,6,20
46,7,20
47,8,20
48,9,20
49,10,20
50,11,20
51,12,20
52,13,20
53,14,20
54,15,20
55,16,20
56,17,20
57,18,20
58,19,20
59,20,20
60,1,21
61,2,21
62,3,21
63,4,21
64,5,21
65,6,21
66,7,21
67,8,21
68,9,21
69,10,21
70,11,21
71,12,21
72,13,21
73,14,21
74,15,21
75,16,21
76,17,21
77,18,21
78,19,21
79,20,21
80,1,22
81,2,22
82,3,22
83,4,22
84,5,22
85,6,22
86,7,22
87,8,22
88,9,22
89,10,22
90,11,22
91,12,22
92,13,22
93,14,22
94,15,22
95,16,22
96,17,22
97,18,22
98,19,22
99,20,22
100,35,18
101,36,18
102,37,18
103,38,18
104,39,18
105,40,18
106,41,18
107,42,18
108,43,18
109,44,18
110,45,18
111,46,18
112,47,18
113,48,18
114,49,18
115,50,18
116,51,18
117,52,18
118,53,18
119,54,18
120,35,19
121,36,19
122,37,19
123,38,19
124,39,19
125,40,19
126,41,19
127,42,19
128,43,19
129,44,19
130,45,19
131,46,19
132,47,19
133,48,19
134,49,19
135,50,19
136,51,19
137,52,19
138,53,19
139,54,19
140,35,20
141,36,20
142,37,20
143,38,20
144,39,20
145,40,20
146,41,20
147,42,20
148,43,20
149,44,20
150,45,20
151,46,20
152,47,20
153,48,20
154,49,20
155,50,20
156,51,20
157,52,20
158,53,20
159,54,20
160,35,21
161,36,21
162,37,21
163,38,21
164,39,21
165,40,21
166,41,21
167,42,21
168,43,21
169,44,21
170,45,21
171,46,21
172,47,21
173,48,21
174,49,21
175,50,21
176,51,21
177,52,21
178,53,21
179,54,21
180,35,22
181,36,22
182,37,22
183,38,22
184,39,22
185,40,22
186,41,22
187,42,22
188,43,22
189,44,22
190,45,22
191,46,22
192,47,22
193,48,22
194,49,22
195,50,22
196,51,22
197,52,22
198,53,22
199,54,22
